Position,Const,Created,Modified,Description,Name,Known For,Birth Date
941,nm0159007,2012-08-04,2012-08-04,132 points,Marvin J. Chomsky,Holocaust,1929-05-23
942,nm0226016,2014-06-08,2014-06-08,132 points,Mike van Diem,Karakter,1959-01-12
943,nm0094080,2012-08-12,2012-08-12,132 points,Fedor Bondarchuk,9 rota,1967-05-09
944,nm0759368,2012-08-12,2012-08-12,131 points,Gabriele Salvatores,Nirvana,1950-07-30
945,nm0477597,2017-10-30,2017-10-30,131 points,Dagur Kári,Voksne mennesker,1973-12-12
946,nm0818608,2014-01-10,2017-07-02,131 points,Götz Spielmann,Revanche,
947,nm0020765,2015-02-01,2015-02-01,131 points,Lewis Allen,The 20th Century-Fox Hour,1905-12-25
948,nm0320833,2012-07-28,2013-05-11,131 points,Jean Girault,Le gendarme de Saint-Tropez,1924-05-09
949,nm0903137,2013-11-02,2017-10-15,130 points,Margarethe von Trotta,Hannah Arendt,1942-02-21
950,nm0006734,2016-08-27,2017-06-03,130 points,Alain Corneau,Tous les matins du monde,1943-08-07
951,nm0792450,2016-09-08,2016-09-08,129 points,George Sherman,Storm Over Lisbon,1908-07-14
952,nm0569166,2013-12-07,2013-12-07,129 points,Scott McGehee,The Deep End,
953,nm0796915,2013-12-07,2013-12-07,129 points,David Siegel,The Deep End,
954,nm0199722,2012-08-04,2012-08-04,129 points,Rod Daniel,WKRP in Cincinnati,1942-08-04
955,nm0647438,2017-11-01,2017-11-26,128 points,Ermanno Olmi,L'albero degli zoccoli,1931-07-24
956,nm0290802,2017-01-11,2017-01-11,128 points,Georges Franju,Les yeux sans visage,1912-04-12
957,nm0331296,2016-12-30,2016-12-30,128 points,Marleen Gorris,Antonia,1948-12-09
958,nm1841577,2016-03-02,2016-03-02,128 points,László Nemes,Saul fia,1977-02-18
959,nm0681635,2012-10-28,2017-05-24,128 points,Irving Pichel,Destination Moon,1891-06-24
960,nm0291035,2013-01-21,2014-05-18,128 points,Melvin Frank,A Touch of Class,1913-08-13
961,nm0873296,2016-01-19,2017-06-29,126 points,Jan Troell,Här har du ditt liv,1931-07-23
962,nm0662953,2012-07-29,2012-07-29,126 points,Gordon Parks,The Learning Tree,1912-11-30
963,nm0369686,2015-05-14,2015-05-14,126 points,Leander Haußmann,Sonnenallee,1959-06-26
964,nm1475971,2013-12-07,2013-12-07,126 points,Mat Whitecross,The Road to Guantanamo,1977-09-21
965,nm0874308,2012-07-29,2012-07-29,125 points,Dalton Trumbo,Roman Holiday,1905-12-09
966,nm1480916,2014-06-09,2014-06-09,125 points,Bora Dagtekin,Fack ju Göhte,1978-10-27
967,nm0689392,2012-08-12,2012-08-12,124 points,Kay Pollak,Så som i himmelen,1938-05-21
968,nm0297523,2014-10-25,2014-10-25,124 points,Robert Fuest,The Final Programme,1927-09-30
969,nm0614276,2012-08-04,2012-08-04,124 points,Geoff Murphy,The Quiet Earth,1938-10-12
970,nm0856267,2013-10-27,2013-10-27,122 points,Hiroshi Teshigahara,Suna no onna,1927-01-28
971,nm0213136,2015-11-07,2017-06-06,122 points,Basil Dearden,Sapphire,1911-01-01
972,nm0542702,2014-11-23,2014-11-23,121 points,Daniel Mann,"Come Back, Little Sheba",1912-08-08
973,nm3213296,2017-11-01,2017-11-01,121 points,Özcan Alper,Karanlik Gece,
974,nm0781292,2015-10-09,2015-10-09,121 points,Edward Sedgwick,The Cameraman,1892-11-07
975,nm0603758,2012-08-18,2012-08-18,120 points,Paulo Morelli,Viva Voz,
976,nm0037247,2012-08-18,2012-08-18,119 points,Guillermo Arriaga,The Three Burials of Melquiades Estrada,1958-03-13
977,nm0887452,2014-05-24,2014-05-24,119 points,Erik Van Looy,De zaak Alzheimer,1962-04-26
978,nm0874096,2012-08-10,2017-06-10,118 points,Fernando Trueba,Belle Epoque,1955-01-18
979,nm0851724,2014-02-28,2014-06-06,117 points,Bertrand Tavernier,Un dimanche à la campagne,1941-04-25
980,nm0422605,2016-11-06,2016-11-06,117 points,Zhangke Jia,Tian zhu ding,1970-05-24
981,nm0533284,2012-08-18,2012-08-18,117 points,David Mackenzie,Perfect Sense,1966-05-10
982,nm0415714,2012-08-06,2012-08-06,117 points,Thomas Jahn,Knockin' on Heaven's Door,1965-07-09
983,nm0861826,2015-05-03,2015-05-03,117 points,Peter Thorwarth,Die Welle,1971-06-03
984,nm0382072,2014-09-03,2014-09-03,116 points,Peter Hewitt,Thunderpants,1962-10-09
985,nm0893473,2014-09-03,2014-09-03,116 points,Malcolm Venville,44 Inch Chest,
986,nm0489309,2015-08-29,2015-08-29,116 points,Éric Lartigau,La famille Bélier,
987,nm0541391,2012-08-05,2012-08-26,115 points,Milcho Manchevski,Pred dozhdot,1959-10-18
988,nm1064048,2017-09-16,2017-09-16,115 points,Nikolaj Arcel,En kongelig affære,1972-08-25
989,nm0526732,2015-11-15,2015-11-15,115 points,Pavel Lungin,Ostrov,1949-07-12
990,nm0001270,2012-08-05,2012-08-05,115 points,Brian Gibson,Breaking Glass,1944-09-22
991,nm0803705,2013-04-14,2015-09-23,114 points,Victor Sjöström,Smultronstället,1879-09-20
992,nm0895048,2012-07-26,2012-07-26,114 points,Dziga Vertov,Chelovek s kino-apparatom,1896-01-02
993,nm0899501,2017-04-11,2017-04-11,114 points,Paolo Virzì,La prima cosa bella,1964-03-04
994,nm0596850,2012-08-04,2016-06-24,114 points,Édouard Molinaro,The Birdcage,1928-05-13
995,nm0782682,2012-11-18,2017-06-22,114 points,William A. Seiter,The Cheerful Fraud,1890-06-10
996,nm0263009,2012-08-12,2012-08-12,114 points,Marc Evans,My Little Eye,
997,nm0346436,2012-07-28,2017-06-19,113 points,Val Guest,The Day the Earth Caught Fire,1911-12-11
998,nm0500988,2017-01-10,2017-01-10,112 points,Claude Lelouch,Un homme et une femme,1937-10-30
999,nm0677951,2017-06-19,2017-06-19,112 points,Daniel Petrie,The Bay Boy,1920-11-26
1000,nm0552140,2012-08-18,2012-08-18,112 points,Darnell Martin,I Like It Like That,1964-01-07
1001,nm0821472,2012-11-11,2017-05-19,111 points,John M. Stahl,Leave Her to Heaven,1886-01-21
1002,nm0268513,2017-08-31,2017-08-31,111 points,John Farrow,Around the World in 80 Days,1904-02-10
1003,nm0064741,2012-08-26,2012-08-26,111 points,Xavier Beauvois,Des hommes et des dieux,1967-03-20
1004,nm0607831,2017-09-30,2017-09-30,110 points,Koen Mortier,Ex Drummer,1965-11-04
1005,nm0689659,2012-12-25,2012-12-25,110 points,George Pollock,Brief Encounter,1907-03-27
1006,nm0023469,2013-06-20,2013-06-20,110 points,Joe Alves,Close Encounters of the Third Kind,1936-05-21
1007,nm0921288,2017-07-13,2017-07-13,109 points,Alfred L. Werker,He Walked by Night,1896-12-02
1008,nm0912334,2015-03-31,2015-03-31,109 points,Alex van Warmerdam,Ober,1952-08-14
1009,nm2223783,2014-04-06,2014-04-06,109 points,Haifaa Al-Mansour,Wadjda,
1010,nm0894577,2016-03-21,2016-03-21,108 points,Henri Verneuil,I... comme Icare,1920-10-15
1011,nm0851537,2017-04-09,2017-11-19,108 points,Norman Taurog,The Adventures of Tom Sawyer,1899-02-23
1012,nm0998110,2017-11-18,2017-11-18,108 points,Daniel Sánchez Arévalo,Azuloscurocasinegro,1970-06-24
1013,nm0136021,2014-08-11,2014-08-11,107 points,Leos Carax,Holy Motors,1960-11-22
1014,nm0351566,2014-12-13,2014-12-13,107 points,Yilmaz Güney,Yol,1937-04-01
1015,nm0005563,2014-06-07,2014-06-07,107 points,Irwin Winkler,Life as a House,1931-05-28
1016,nm0532702,2012-08-06,2013-01-18,107 points,Juliusz Machulski,Seksmisja,1955-03-10
1017,nm0905579,2012-07-29,2012-07-29,107 points,Michael Wadleigh,Wolfen,1939-09-24
1018,nm0418986,2015-06-21,2015-06-21,106 points,Charles Jarrott,The Secret Life of Algernon,1927-06-16
1019,nm0199381,2017-11-25,2017-11-25,105 points,Georgiy Daneliya,Kin-dza-dza!,1930-08-25
1020,nm1365879,2014-12-30,2014-12-30,105 points,Morgan Neville,Best of Enemies,1967-10-10
1021,nm0464115,2012-08-18,2012-08-18,105 points,Eran Kolirin,Bikur Ha-Tizmoret,1973-11-04
1022,nm0000450,2017-04-22,2017-04-22,104 points,Philip Seymour Hoffman,The Master,1967-07-23
1023,nm0000146,2012-09-01,2012-09-01,104 points,Ralph Fiennes,The Grand Budapest Hotel,1962-12-22
1024,nm0812862,2012-08-11,2012-08-26,103 points,Silvio Soldini,Pane e tulipani,1958-08-11
1025,nm0248054,2016-10-29,2016-10-29,103 points,Thom Eberhardt,Without a Clue,1947-03-07
1026,nm0395023,2015-06-04,2015-06-04,103 points,James W. Horne,The Green Archer,1881-12-14
1027,nm0394776,2016-01-17,2016-01-17,103 points,Sherry Hormann,Desert Flower,1960-04-20
1028,nm0245213,2016-02-08,2016-11-22,102 points,Julien Duvivier,Panique,1896-10-03
1029,nm0097079,2017-03-25,2017-03-25,102 points,Ole Bornedal,Nattevagten,1959-05-26
1030,nm0564319,2012-08-04,2012-08-04,102 points,Jim McBride,The Big Easy,1941-09-16
1031,nm0002190,2013-10-26,2013-10-26,101 points,Anthony Asquith,Underground,1902-11-09
1032,nm0880618,2013-04-07,2013-04-07,101 points,Edgar G. Ulmer,The Black Cat,1904-09-17
1033,nm0070670,2012-07-27,2015-01-22,101 points,Laslo Benedek,Death of a Salesman,1905-03-05
1034,nm0297846,2015-11-02,2015-11-02,101 points,Toshiya Fujita,Kaerazaru hibi,1932-01-16
1035,nm0367860,2015-07-13,2015-07-14,100 points,Wojciech Has,Pozegnania,1925-04-01
1036,nm0205542,2012-08-11,2012-08-11,100 points,Tamra Davis,Crossroads,1962-01-22
1037,nm0373511,2012-07-26,2012-07-26,99 points,Victor Heerman,Little Women,1893-08-27
1038,nm0002083,2012-08-10,2012-08-10,98 points,Carl Franklin,One False Move,1949-04-11
1039,nm0258977,2012-08-05,2012-08-05,98 points,Víctor Erice,El sur,1940-06-30
1040,nm0097785,2017-07-02,2017-07-02,98 points,Rose Bosch,Animal,
1041,nm0005789,2013-07-07,2013-07-07,98 points,Rudolph Maté,Gilda,1898-01-21
1042,nm0000619,2012-08-11,2012-08-11,98 points,Tim Roth,Rob Roy,1961-05-14
1043,nm0897118,2012-07-26,2012-07-26,97 points,Jean Vigo,Zéro de conduite: Jeunes diables au collège,1905-04-26
1044,nm0002196,2012-08-04,2012-08-04,97 points,Gabriel Axel,Babettes gæstebud,1918-04-18
1045,nm0926919,2016-09-22,2016-09-22,97 points,Bernhard Wicki,The Longest Day,1919-10-28
1046,nm0400958,2012-08-04,2012-08-04,97 points,Terry Hughes,The Golden Girls,1940-02-25
1047,nm0337773,2017-11-12,2017-11-12,97 points,David Gordon Green,Halloween,1975-04-09
1048,nm0434443,2015-02-19,2015-02-19,96 points,Ján Kadár,Obchod na korze,1918-04-01
1049,nm0588183,2017-08-27,2017-08-27,96 points,David Miller,The Story of Esther Costello,1909-11-28
1050,nm0477193,2012-08-12,2012-08-12,96 points,Richard Kwietniowski,Love and Death on Long Island,1957-03-17
1051,nm0460033,2015-02-19,2015-02-19,96 points,Elmar Klos,Obchod na korze,1910-01-26
1052,nm0363214,2012-08-11,2012-08-11,96 points,Jan Harlan,A Clockwork Orange,1937-05-05
1053,nm0549658,2015-05-19,2015-05-19,95 points,Richard Marquand,Star Wars: Episode VI - Return of the Jedi,1937-09-22
1054,nm0589182,2012-08-19,2012-08-19,95 points,Rebecca Miller,Maggie's Plan,1962-09-15
1055,nm0753912,2012-08-12,2012-08-26,95 points,Oskar Roehler,Die Unberührbare,1959-01-21
1056,nm0694090,2015-10-07,2015-10-07,95 points,Dick Powell,"Murder, My Sweet",1904-11-14
1057,nm0850895,2012-07-27,2012-07-28,93 points,Frank Tashlin,Will Success Spoil Rock Hunter?,1913-02-19
1058,nm1475479,2012-08-18,2012-08-18,93 points,Jim Strouse,Grace Is Gone,
1059,nm0267244,2012-08-11,2012-08-11,92 points,Josef Fares,Jalla! Jalla!,
1060,nm0257606,2012-08-18,2012-08-18,92 points,Diane English,Murphy Brown,1948-05-18
1061,nm0314584,2016-06-03,2016-06-04,91 points,Pietro Germi,Il ferroviere,1914-09-14
1062,nm0299621,2015-01-01,2015-01-01,91 points,Max Färberböck,Bella Block,1950-09-22
1063,nm0000191,2017-04-25,2017-04-25,91 points,Ewan McGregor,Moulin Rouge!,1971-03-31
1064,nm0660886,2013-04-29,2013-05-04,90 points,Sergei Parajanov,Tini zabutykh predkiv,1924-01-09
1065,nm0579828,2017-04-14,2017-04-14,90 points,Vladimir Menshov,Nochnoy dozor,1939-09-17
1066,nm0280904,2014-08-30,2014-08-30,90 points,Robert J. Flaherty,Louisiana Story,1884-02-16
1067,nm0000127,2012-08-11,2012-08-11,90 points,Wes Craven,A Nightmare on Elm Street,1939-08-02
1068,nm0518719,2012-08-04,2012-12-22,90 points,Jerry London,Chiefs,1937-01-21
1069,nm0718469,2012-07-26,2012-07-26,90 points,Charles Reisner,"Steamboat Bill, Jr.",1887-03-14
1070,nm0501902,2014-09-21,2015-08-29,89 points,Paul Leni,The Man Who Laughs,1885-07-08
1071,nm0163229,2016-06-20,2016-07-04,88 points,René Clair,Le silence est d'or,1898-11-11
1072,nm0439597,2016-05-05,2016-05-05,88 points,Phil Karlson,The Scarface Mob,1908-07-02
1073,nm0166836,2015-01-18,2015-09-08,88 points,Edward F. Cline,The Boat,1891-11-07
1074,nm0420112,2012-08-12,2012-08-12,88 points,John Jeffcoat,Outsourced,
1075,nm0618779,2017-08-05,2017-08-05,88 points,Ruba Nadda,Cairo Time,1972-12-06
1076,nm0959255,2013-12-15,2013-12-15,88 points,Christian Zübert,Lammbock,1973-08-27
1077,nm0001901,2017-08-20,2017-08-20,87 points,Chantal Akerman,Je tu il elle,1950-06-06
1078,nm0466099,2016-01-18,2016-01-18,87 points,Alexander Korda,The Private Life of Don Juan,1893-09-16
1079,nm0583292,2013-03-08,2013-03-08,87 points,Nicholas Meyer,Time After Time,1945-12-24
1080,nm0927090,2016-05-21,2016-05-21,86 points,Bo Widerberg,Ådalen 31,1930-06-08
1081,nm0890565,2013-06-08,2013-06-08,86 points,Dmitriy Vasilev,Zhukovsky,1900-10-21
1082,nm0659085,2013-01-21,2013-01-21,86 points,Norman Panama,Knock on Wood,1914-04-21
1083,nm0469273,2012-11-11,2012-11-11,85 points,Søren Kragh-Jacobsen,Skyggen af Emma,1947-03-02
1084,nm0425913,2014-01-05,2014-01-05,84 points,Nunnally Johnson,The Grapes of Wrath,1897-12-05
1085,nm0029242,2017-09-23,2017-09-23,84 points,André Téchiné,Les roseaux sauvages,1943-03-13
1086,nm1963886,2016-11-06,2016-11-06,84 points,Grímur Hákonarson,Hrútar,
1087,nm0567680,2017-10-20,2017-10-20,84 points,Bruce McDonald,Pontypool,1959-05-28
1088,nm1413443,2012-08-19,2012-08-19,83 points,Samuel Maoz,Lebanon,1962-05-23
1089,nm0001097,2012-08-12,2012-08-12,83 points,Charles Dance,Gosford Park,1946-10-10
1090,nm0326740,2014-01-04,2014-01-04,82 points,Srdan Golubovic,Apsolutnih sto,1972-08-24
1091,nm0840671,2015-04-27,2015-04-27,82 points,Seijun Suzuki,Tsigoineruwaizen,1923-05-24
1092,nm0236769,2012-08-04,2012-08-04,82 points,Stan Dragoti,She's Out of Control,1932-10-04
1093,nm0852279,2012-08-04,2012-08-04,82 points,Don Taylor,Stalag 17,1920-12-13
1094,nm0513371,2013-04-07,2013-04-07,81 points,Philippe Lioret,Welcome,1955-10-10
1095,nm0458251,2012-08-18,2012-08-18,81 points,Cédric Klapisch,L'auberge espagnole,1961-09-04
1096,nm1132362,2013-06-08,2013-06-08,80 points,Lauren Greenfield,The Queen of Versailles,1966-06-28
1097,nm0602616,2012-08-26,2012-08-26,80 points,Guillem Morales,Los ojos de Julia,
1098,nm0414144,2012-07-27,2012-07-27,80 points,Wilfred Jackson,Cinderella,1906-01-24
1099,nm0928514,2017-07-05,2017-07-05,80 points,Ted Wilde,The Kid Brother,1889-12-16
1100,nm0287836,2012-07-27,2012-07-27,80 points,Harve Foster,Rebound,1907-11-27
1101,nm0726954,2012-08-18,2012-08-18,79 points,Eran Riklis,Etz Limon,1954-10-02
1102,nm0271815,2017-01-25,2017-01-25,79 points,Xiaogang Feng,Lao pao er,1958-03-18
1103,nm0521974,2015-07-02,2015-07-02,79 points,Todd Louiso,High Fidelity,1970-01-27
1104,nm0379773,2014-07-05,2014-07-05,79 points,Felix Herngren,Hundraåringen som klev ut genom fönstret och försvann,1967-02-04
1105,nm0505610,2012-07-28,2012-07-28,79 points,Henry Levin,April Love,1909-06-05
1106,nm0548094,2013-11-11,2013-11-11,79 points,Ernst Marischka,Der veruntreute Himmel,1893-01-02
1107,nm0497416,2017-03-22,2017-03-22,78 points,Hyun-seung Lee,Poo-reun so-geum,1961-08-18
1108,nm0237527,2012-08-18,2012-09-01,77 points,Andreas Dresen,Halt auf freier Strecke,1963-08-16
1109,nm0099552,2012-12-28,2012-12-28,77 points,Tassos Boulmetis,Politiki kouzina,
1110,nm0083279,2012-08-04,2012-08-04,77 points,Patricia Birch,Grease,
1111,nm0002207,2012-08-04,2012-08-04,77 points,Richard Franklin,Patrick,1948-07-15
1112,nm0576732,2017-09-03,2017-09-03,76 points,Ursula Meier,Home,1971-06-24
1113,nm0337773,2014-01-04,2014-01-04,76 points,David Gordon Green,Halloween,1975-04-09
1114,nm0870841,2015-02-03,2015-02-03,76 points,Anh Hung Tran,Mùi du du xanh,1962-12-23
1115,nm0734466,2012-08-04,2012-08-04,76 points,Franc Roddam,Moby Dick,1946-04-29
1116,nm0523893,2014-10-05,2014-10-05,75 points,Arthur Lubin,Phantom of the Opera,1898-07-25
1117,nm0291548,2017-04-09,2017-04-09,74 points,Sidney Franklin,The Good Earth,1893-03-21
1118,nm0437717,2012-11-23,2012-11-23,74 points,Garson Kanin,Pat and Mike,1912-11-24
1119,nm0262402,2017-08-19,2017-08-19,74 points,Jean Eustache,La maman et la putain,1938-11-30
1120,nm0232795,2012-07-28,2016-04-13,74 points,Clive Donner,The Caretaker,1926-01-21
1121,nm0485647,2014-11-08,2014-11-08,74 points,Sidney Lanfield,Hush Money,1898-04-20
1122,nm0467666,2012-08-18,2013-01-12,74 points,Marek Koterski,Dzien swira,1942-06-03
1123,nm0392319,2013-02-01,2013-02-01,74 points,Marius Holst,Ti kniver i hjertet,1965-01-15
1124,nm0355284,2017-09-10,2017-09-10,74 points,Alexander Hall,Here Comes Mr. Jordan,1894-01-11
1125,nm0003490,2012-07-27,2012-07-27,74 points,Ludwig Berger,The Thief of Bagdad,1892-01-06
1126,nm0304921,2014-01-17,2014-01-17,74 points,Sam Garbarski,Irina Palm,1948-02-13
1127,nm0789520,2016-04-30,2016-04-30,74 points,Melville Shavelson,The Five Pennies,1917-04-01
1128,nm0000332,2017-01-06,2017-01-06,74 points,Don Cheadle,Crash,1964-11-29
1129,nm0001471,2012-07-28,2012-07-28,74 points,Jerry Lewis,The Nutty Professor,1926-03-16
1130,nm0092915,2017-06-27,2017-06-27,73 points,Richard Boleslawski,Theodora Goes Wild,1889-02-04
1131,nm0002218,2015-11-12,2015-11-12,73 points,Claude Miller,Garde à vue,1942-02-20
1132,nm0442905,2017-06-13,2017-06-13,73 points,Naomi Kawase,An,1969-05-30
1133,nm0466113,2012-10-27,2016-04-07,72 points,Zoltan Korda,"Cry, the Beloved Country",1895-06-03
1134,nm0146991,2013-03-10,2013-03-10,72 points,Fred Cavayé,The Next Three Days,
1135,nm1177494,2015-05-05,2015-05-05,72 points,David Wnendt,Er ist wieder da,
1136,nm0241090,2012-12-27,2012-12-27,72 points,John Duigan,The Year My Voice Broke,1949-06-19
1137,nm0000727,2012-08-04,2016-04-16,72 points,Percy Adlon,Out of Rosenheim,1935-06-01
1138,nm0465551,2012-08-18,2012-08-18,72 points,Martin Koolhoven,Brimstone,1969-04-25
1139,nm0401680,2017-01-23,2017-01-23,71 points,H. Bruce Humberstone,Wonder Man,1901-11-18
1140,nm0074311,2013-12-29,2013-12-29,71 points,Pablo Berger,Blancanieves,
1141,nm0463242,2015-03-02,2015-03-02,71 points,Jim Kohlberg,The Music Never Stopped,
1142,nm0396284,2016-03-23,2016-04-13,70 points,Hsiao-Hsien Hou,Cike Nie Yin Niang,1947-04-08
1143,nm0374702,2016-04-28,2016-04-28,70 points,Stuart Heisler,Saturday Island,1896-12-05
1144,nm1312919,2015-01-20,2015-01-20,70 points,Yann Demange,'71,
1145,nm1031708,2016-02-02,2016-02-02,70 points,Mikkel Nørgaard,Kvinden i buret,
1146,nm1403225,2017-03-29,2017-03-29,69 points,Alexei Popogrebsky,Kak ya provyol etim letom,1972-08-07
1147,nm0241622,2017-10-28,2017-10-28,69 points,Bruno Dumont,P'tit Quinquin,1958-03-14
1148,nm1120092,2012-08-12,2012-08-26,69 points,Jasmila Zbanic,"Quo vadis, Aida?",1974-12-19
1149,nm0740400,2012-08-19,2012-08-19,69 points,Don Roos,The Opposite of Sex,1955-04-14
1150,nm0035106,2012-08-10,2012-08-10,69 points,Allan Arkush,Heroes,1948-04-30
1151,nm0004654,2012-08-03,2012-08-03,69 points,Nicolas Gessner,The Little Girl Who Lives Down the Lane,1931-08-17
1152,nm0200192,2012-08-04,2012-08-04,68 points,Tage Danielsson,Ronja Rövardotter,1928-02-05
1153,nm0091380,2015-09-06,2015-09-06,68 points,Carl Boese,Eva in Seide,1887-08-26
1154,nm0283500,2015-06-22,2015-06-22,68 points,John Flynn,Lock Up,1932-03-14
1155,nm0340981,2015-02-17,2015-02-17,68 points,Tom Gries,Will Penny,1922-12-20
1156,nm0718243,2012-07-28,2012-07-29,68 points,Harald Reinl,Der Frosch mit der Maske,1908-07-09
1157,nm0435788,2012-08-18,2012-08-18,68 points,Tom Kalin,Swoon,
1158,nm0000473,2012-08-11,2012-08-11,68 points,Diane Keaton,Annie Hall,1946-01-05
1159,nm0230695,2016-12-10,2017-10-28,67 points,Jacques Doillon,Le petit criminel,1944-03-15
1160,nm0366004,2012-08-12,2012-08-12,67 points,Mary Harron,American Psycho,1953-01-12
1161,nm0806915,2012-08-03,2012-08-03,67 points,Jack Smight,The Illustrated Man,1925-03-09
1162,nm2171633,2015-05-01,2015-05-01,67 points,Baran bo Odar,Who Am I - Kein System ist sicher,1978-04-18
1163,nm0941637,2015-09-07,2017-08-15,67 points,Wallace Worsley,The Ace of Hearts,1878-12-08
1164,nm0187981,2013-04-14,2013-04-14,67 points,Donald Crisp,How Green Was My Valley,1882-07-27
1165,nm0000078,2012-07-28,2012-07-28,67 points,John Wayne,True Grit,1907-05-26
1166,nm0424466,2012-08-04,2012-08-04,67 points,Alan Johnson,History of the World: Part I,1937-02-18
1167,nm0406728,2015-01-26,2016-03-05,66 points,Kon Ichikawa,Inugami-ke no ichizoku,1915-11-20
1168,nm0133424,2012-07-28,2012-07-28,66 points,Marcel Camus,Orfeu Negro,1912-04-21
1169,nm0576529,2017-12-05,2017-12-05,66 points,Dariush Mehrjui,Gaav,1939-12-08
1170,nm0911075,2012-08-11,2012-08-18,66 points,Xiaoshuai Wang,Rizhao Chongqing,1966-05-22
1171,nm1500530,2017-04-05,2017-04-05,66 points,Wojciech Smarzowski,Dom zly,1963-01-18
1172,nm1155957,2017-01-15,2017-01-15,66 points,Anna Muylaert,Que Horas Ela Volta?,1964-04-21
1173,nm0726166,2013-03-10,2013-03-10,66 points,Leni Riefenstahl,Das blaue Licht - Eine Berglegende aus den Dolomiten,1902-08-22
